CMDLINE /home/gourliek/anaconda3/envs/ent15y/bin/python3.9 profile_test.py
MEM 1.250000 1719525975.0120
MEM 33.308594 1719525975.1123
MEM 84.183594 1719525975.2127
MEM 110.050781 1719525975.3130
MEM 122.175781 1719525975.4133
MEM 142.550781 1719525975.5137
MEM 152.175781 1719525975.6139
MEM 170.050781 1719525975.7141
MEM 184.175781 1719525975.8144
MEM 220.300781 1719525975.9146
MEM 234.769531 1719525976.0150
MEM 483.894531 1719525976.1153
MEM 906.355469 1719525976.2164
MEM 1021.355469 1719525976.3168
MEM 1021.355469 1719525976.4171
MEM 539.777344 1719525976.5173
MEM 667.738281 1719525976.6177
MEM 790.363281 1719525976.7181
MEM 790.363281 1719525976.8185
MEM 790.488281 1719525976.9190
MEM 1019.238281 1719525977.0193
MEM 1038.863281 1719525977.1196
MEM 1038.863281 1719525977.2201
MEM 1038.863281 1719525977.3224
MEM 1038.863281 1719525977.4230
MEM 1038.863281 1719525977.5235
MEM 1038.863281 1719525977.6243
MEM 1038.863281 1719525977.7247
MEM 1038.863281 1719525977.8276
MEM 1038.863281 1719525977.9285
MEM 1038.863281 1719525978.0289
MEM 1038.863281 1719525978.1301
MEM 1038.863281 1719525978.2305
MEM 1038.863281 1719525978.3312
MEM 1038.863281 1719525978.4317
MEM 1038.863281 1719525978.5329
MEM 1038.863281 1719525978.6333
MEM 1038.863281 1719525978.7345
MEM 1038.863281 1719525978.8350
MEM 1038.863281 1719525978.9354
MEM 1038.863281 1719525979.0362
MEM 1038.863281 1719525979.1366
MEM 1038.863281 1719525979.2383
MEM 1038.863281 1719525979.3393
MEM 1038.863281 1719525979.4397
MEM 1038.863281 1719525979.5401
MEM 1038.863281 1719525979.6405
MEM 1038.863281 1719525979.7413
MEM 1280.644531 1719525979.8417
MEM 1245.343750 1719525979.9421
MEM 1370.921875 1719525980.0424
MEM 1454.796875 1719525980.1430
MEM 1454.796875 1719525980.2433
MEM 1454.796875 1719525980.3437
MEM 1454.796875 1719525980.4442
MEM 1454.796875 1719525980.5446
MEM 1454.796875 1719525980.6449
MEM 1454.796875 1719525980.7453
MEM 1118.296875 1719525980.8457
MEM 1176.890625 1719525980.9462
MEM 1212.890625 1719525981.0468
MEM 1212.890625 1719525981.1472
MEM 1212.890625 1719525981.2477
MEM 1212.890625 1719525981.3482
MEM 1212.890625 1719525981.4486
MEM 1212.890625 1719525981.5490
MEM 1212.890625 1719525981.6493
MEM 1169.976562 1719525981.7498
MEM 1433.351562 1719525981.8500
MEM 1688.851562 1719525981.9503
MEM 1689.476562 1719525982.0510
MEM 1689.851562 1719525982.1515
MEM 1690.101562 1719525982.2518
MEM 1690.101562 1719525982.3521
MEM 1690.101562 1719525982.4525
MEM 1690.101562 1719525982.5581
MEM 1751.101562 1719525982.6586
MEM 1751.226562 1719525982.7701
MEM 1751.226562 1719525982.8706
MEM 1751.226562 1719525982.9710
MEM 1751.226562 1719525983.0714
MEM 1751.226562 1719525983.1718
MEM 1751.226562 1719525983.2722
MEM 1751.226562 1719525983.3725
MEM 1751.226562 1719525983.4729
MEM 1751.226562 1719525983.5734
MEM 1751.226562 1719525983.6738
MEM 1751.226562 1719525983.7742
MEM 1751.226562 1719525983.8747
MEM 1751.226562 1719525983.9781
MEM 1751.226562 1719525984.0786
MEM 1751.226562 1719525984.1790
MEM 1751.226562 1719525984.2793
MEM 1751.226562 1719525984.3796
MEM 1980.132812 1719525984.4800
MEM 1388.312500 1719525984.5804
MEM 1375.671875 1719525984.6808
MEM 1605.484375 1719525984.7812
MEM 1605.484375 1719525984.8817
MEM 1605.609375 1719525984.9861
MEM 1374.554688 1719525985.0878
MEM 1376.679688 1719525985.1903
MEM 1378.304688 1719525985.2907
MEM 1142.558594 1719525985.3911
MEM 841.691406 1719525985.4914
MEM 995.691406 1719525985.5917
MEM 1028.316406 1719525985.6921
MEM 1028.316406 1719525985.7924
MEM 1028.316406 1719525985.8928
MEM 1274.191406 1719525985.9939
MEM 1274.191406 1719525986.0946
MEM 1274.191406 1719525986.1951
MEM 1274.191406 1719525986.2955
MEM 1274.191406 1719525986.3959
MEM 1274.191406 1719525986.4966
MEM 1274.191406 1719525986.5974
MEM 1274.191406 1719525986.6987
MEM 1274.191406 1719525986.7995
MEM 1274.191406 1719525986.9000
MEM 1274.191406 1719525987.0008
MEM 1274.191406 1719525987.1012
MEM 1274.191406 1719525987.2021
MEM 1274.191406 1719525987.3025
MEM 1274.191406 1719525987.4037
MEM 1274.191406 1719525987.5042
MEM 1274.191406 1719525987.6053
MEM 1274.191406 1719525987.7061
MEM 1274.191406 1719525987.8065
MEM 1274.191406 1719525987.9081
MEM 1274.191406 1719525988.0086
MEM 1274.191406 1719525988.1093
MEM 1274.191406 1719525988.2098
MEM 1274.191406 1719525988.3107
MEM 1274.191406 1719525988.4115
MEM 1274.191406 1719525988.5120
MEM 1274.191406 1719525988.6127
MEM 1274.191406 1719525988.7136
MEM 1300.484375 1719525988.8142
MEM 1515.246094 1719525988.9146
MEM 1538.492188 1719525989.0199
MEM 1624.867188 1719525989.1204
MEM 1624.867188 1719525989.2208
MEM 1624.867188 1719525989.3214
MEM 1624.867188 1719525989.4220
MEM 1624.867188 1719525989.5225
MEM 1624.867188 1719525989.6229
MEM 1624.867188 1719525989.7234
MEM 1624.867188 1719525989.8238
MEM 1501.714844 1719525989.9242
MEM 1379.179688 1719525990.0245
MEM 1379.179688 1719525990.1249
MEM 1379.179688 1719525990.2253
MEM 1379.179688 1719525990.3257
MEM 1379.179688 1719525990.4262
MEM 1379.179688 1719525990.5266
MEM 1379.179688 1719525990.6270
MEM 1341.460938 1719525990.7273
MEM 1521.640625 1719525990.8276
MEM 1837.140625 1719525990.9280
MEM 1837.140625 1719525991.0283
MEM 1837.140625 1719525991.1300
MEM 1837.140625 1719525991.2303
MEM 1837.140625 1719525991.3307
MEM 1837.140625 1719525991.4311
MEM 1837.140625 1719525991.5314
MEM 1837.140625 1719525991.6324
MEM 1837.140625 1719525991.7327
MEM 1837.140625 1719525991.8331
MEM 1837.140625 1719525991.9337
MEM 1837.140625 1719525992.0341
MEM 1837.140625 1719525992.1347
MEM 1837.140625 1719525992.2351
MEM 1837.140625 1719525992.3354
MEM 1837.140625 1719525992.4359
MEM 1837.140625 1719525992.5363
MEM 1837.140625 1719525992.6367
MEM 1837.140625 1719525992.7371
MEM 1837.140625 1719525992.8375
MEM 1837.140625 1719525992.9379
MEM 1837.140625 1719525993.0383
MEM 1837.140625 1719525993.1386
MEM 1837.140625 1719525993.2391
MEM 2049.351562 1719525993.3396
MEM 1435.152344 1719525993.4399
MEM 1262.843750 1719525993.5403
MEM 1262.843750 1719525993.6407
MEM 1262.843750 1719525993.7416
MEM 1262.843750 1719525993.8419
MEM 1378.093750 1719525993.9423
MEM 1147.593750 1719525994.0426
MEM 1147.593750 1719525994.1434
MEM 1173.554688 1719525994.2437
MEM 1541.910156 1719525994.3442
MEM 1554.910156 1719525994.4445
MEM 1554.910156 1719525994.5449
MEM 1554.910156 1719525994.6462
MEM 1286.738281 1719525994.7501
MEM 1254.210938 1719525994.8505
MEM 1487.710938 1719525994.9508
MEM 1488.710938 1719525995.0512
MEM 1490.460938 1719525995.1516
MEM 522.015625 1719525995.2519
MEM 640.390625 1719525995.3523
MEM 756.265625 1719525995.4526
MEM 870.140625 1719525995.5530
MEM 1109.140625 1719525995.6533
MEM 1404.765625 1719525995.7537
MEM 1717.140625 1719525995.8541
MEM 2031.015625 1719525995.9544
MEM 2243.019531 1719525996.0576
MEM 3129.234375 1719525996.1588
MEM 4055.234375 1719525996.2599
MEM 4869.234375 1719525996.3609
MEM 5237.109375 1719525996.4616
MEM 5237.109375 1719525996.5628
MEM 5237.109375 1719525996.6632
MEM 5237.109375 1719525996.7635
MEM 5237.109375 1719525996.8638
MEM 5237.109375 1719525996.9642
MEM 5237.109375 1719525997.0645
MEM 5237.109375 1719525997.1648
MEM 5237.109375 1719525997.2651
MEM 5237.109375 1719525997.3655
MEM 5237.109375 1719525997.4659
MEM 5237.109375 1719525997.5674
MEM 5237.109375 1719525997.6677
MEM 5237.109375 1719525997.7680
MEM 5237.109375 1719525997.8684
MEM 5237.109375 1719525997.9687
MEM 5237.109375 1719525998.0691
MEM 5237.109375 1719525998.1694
MEM 5237.109375 1719525998.2697
MEM 5150.328125 1719525998.3700
MEM 5150.328125 1719525998.4702
MEM 5150.328125 1719525998.5705
MEM 2230.011719 1719525998.6709
